Date;Close
30/07/2019;17482.5
31/07/2019;17352.5
01/08/2019;17347.5
02/08/2019;17095
05/08/2019;16877.5
06/08/2019;17030
07/08/2019;16750
08/08/2019;16885
09/08/2019;16860
12/08/2019;16872.5
13/08/2019;17112.5
14/08/2019;17107.5
15/08/2019;17045
16/08/2019;16640
19/08/2019;16412.5
20/08/2019;16457.5
21/08/2019;16217.5
22/08/2019;16142.5
23/08/2019;15887.5
27/08/2019;15755
28/08/2019;15775
29/08/2019;15775
30/08/2019;16282.5
02/09/2019;16562.5
03/09/2019;16715
04/09/2019;17200
05/09/2019;17402.5
06/09/2019;17375
09/09/2019;17265
10/09/2019;17422.5
11/09/2019;17592.5
12/09/2019;17172.5
13/09/2019;16705
16/09/2019;17035
17/09/2019;16772.5
18/09/2019;16840
19/09/2019;16537.5
20/09/2019;16682.5
23/09/2019;16530
24/09/2019;16500
25/09/2019;16530
26/09/2019;16300
27/09/2019;16130
30/09/2019;15925
01/10/2019;16250
02/10/2019;16550
03/10/2019;16475
04/10/2019;16475
07/10/2019;16330
08/10/2019;16395
09/10/2019;16445
10/10/2019;16450
11/10/2019;16525
14/10/2019;16520
15/10/2019;16680
16/10/2019;16875
17/10/2019;17150
18/10/2019;16950
21/10/2019;16775
22/10/2019;16850
23/10/2019;16550
24/10/2019;16775
25/10/2019;16675
28/10/2019;16725
29/10/2019;16850
30/10/2019;16800
31/10/2019;16525
01/11/2019;16525
04/11/2019;16425
05/11/2019;16455
06/11/2019;16565
07/11/2019;16575
08/11/2019;16700
11/11/2019;16575
12/11/2019;16340
13/11/2019;16000
14/11/2019;16200
15/11/2019;16100
18/11/2019;16060
19/11/2019;16000
20/11/2019;16030
21/11/2019;16400
22/11/2019;16350
25/11/2019;16470
26/11/2019;16325
27/11/2019;16400
28/11/2019;16420
29/11/2019;16495
02/12/2019;16490
03/12/2019;16750
04/12/2019;16750
05/12/2019;16800
06/12/2019;17075
09/12/2019;17125
10/12/2019;17390
11/12/2019;17290
12/12/2019;17250
13/12/2019;17225
16/12/2019;17175
17/12/2019;17325
18/12/2019;17295
19/12/2019;17375
20/12/2019;17340
23/12/2019;17300
24/12/2019;17125
27/12/2019;17120
30/12/2019;17000
31/12/2019;17175
02/01/2020;17190
03/01/2020;16800
06/01/2020;16850
07/01/2020;17005
08/01/2020;17140
09/01/2020;17250
10/01/2020;17225
13/01/2020;17375
14/01/2020;17430
15/01/2020;17450
16/01/2020;17670
17/01/2020;17810
20/01/2020;17850
21/01/2020;17575
22/01/2020;17425
23/01/2020;17030
24/01/2020;16850
27/01/2020;16270
28/01/2020;16325
29/01/2020;16200
30/01/2020;16025
31/01/2020;16375
03/02/2020;16205
04/02/2020;16325
05/02/2020;16570
06/02/2020;16700
07/02/2020;16175
10/02/2020;16325
11/02/2020;16475
12/02/2020;16500
13/02/2020;16590
14/02/2020;16525
17/02/2020;16600
18/02/2020;16500
19/02/2020;16525
20/02/2020;16575
21/02/2020;16630
24/02/2020;16550
25/02/2020;16725
26/02/2020;16680
27/02/2020;16345
28/02/2020;16290
02/03/2020;16625
03/03/2020;16750
04/03/2020;16925
05/03/2020;17025
06/03/2020;16875
09/03/2020;16700
10/03/2020;16875
11/03/2020;16700
12/03/2020;16100
13/03/2020;15950
16/03/2020;15300
17/03/2020;14250
18/03/2020;13575
19/03/2020;13900
20/03/2020;13950
23/03/2020;13250
24/03/2020;13400
25/03/2020;14299
26/03/2020;14268
27/03/2020;14260
30/03/2020;14500
31/03/2020;14602
01/04/2020;14345
02/04/2020;14375
03/04/2020;14123
06/04/2020;14280
07/04/2020;14621
08/04/2020;14397
09/04/2020;14958
14/04/2020;15457
15/04/2020;15093
16/04/2020;14960
17/04/2020;15070
20/04/2020;15215
21/04/2020;14760
22/04/2020;14860
23/04/2020;15000
24/04/2020;14890
27/04/2020;15460
28/04/2020;15345
29/04/2020;15305
30/04/2020;15197
01/05/2020;15000
04/05/2020;15085
05/05/2020;15200
06/05/2020;15200
07/05/2020;15225
11/05/2020;15240
12/05/2020;15220
13/05/2020;15170
14/05/2020;15030
15/05/2020;14965
18/05/2020;15282
19/05/2020;15360
20/05/2020;15459
21/05/2020;15500
22/05/2020;15355
26/05/2020;15429
27/05/2020;15300
28/05/2020;15515
29/05/2020;15405
01/06/2020;15690
02/06/2020;16009
03/06/2020;16001
04/06/2020;16070
05/06/2020;16550
08/06/2020;16665
09/06/2020;16922
10/06/2020;17190
11/06/2020;16918
12/06/2020;17120
15/06/2020;16845
16/06/2020;16920
17/06/2020;16990
18/06/2020;16885
19/06/2020;16885
22/06/2020;16859
23/06/2020;16896
24/06/2020;16655
25/06/2020;16580
26/06/2020;16815
29/06/2020;16775
30/06/2020;16722
01/07/2020;16750
02/07/2020;16830
03/07/2020;16840
06/07/2020;17010
07/07/2020;16970
08/07/2020;17075
09/07/2020;17340
10/07/2020;17310
13/07/2020;17435
14/07/2020;17310
15/07/2020;17280
16/07/2020;17370
17/07/2020;17330
20/07/2020;17360
21/07/2020;17565
22/07/2020;17581
23/07/2020;17813
24/07/2020;17657
27/07/2020;18035
28/07/2020;17993
29/07/2020;17930
30/07/2020;17805
31/07/2020;17897
03/08/2020;18013
04/08/2020;17770
05/08/2020;17885
06/08/2020;17840
07/08/2020;17771
10/08/2020;17716
11/08/2020;17690
12/08/2020;17580
13/08/2020;17500
14/08/2020;17600
17/08/2020;17321
18/08/2020;17600
19/08/2020;17640
20/08/2020;17570
21/08/2020;17570
24/08/2020;17310
25/08/2020;17360
26/08/2020;17550
27/08/2020;17810
28/08/2020;17850
01/09/2020;18186
02/09/2020;18348
03/09/2020;18225
04/09/2020;18250
07/09/2020;18330
08/09/2020;18046
09/09/2020;18015
10/09/2020;18000
11/09/2020;18102
14/09/2020;18155
15/09/2020;18209
16/09/2020;18275
17/09/2020;18190
18/09/2020;18115
21/09/2020;18100
22/09/2020;18250
23/09/2020;17850
24/09/2020;17281
25/09/2020;17185
28/09/2020;17344
29/09/2020;17459
30/09/2020;17494
01/10/2020;17302
02/10/2020;17815
05/10/2020;18070
06/10/2020;18180
07/10/2020;18110
08/10/2020;18137
09/10/2020;18270
12/10/2020;18245
13/10/2020;18255
14/10/2020;18300
15/10/2020;18355
16/10/2020;18320
19/10/2020;18640
20/10/2020;18670
21/10/2020;18745
22/10/2020;18685
23/10/2020;18405
26/10/2020;18050
27/10/2020;18072
28/10/2020;17929
29/10/2020;17822
30/10/2020;17725
02/11/2020;17770
03/11/2020;18075
04/11/2020;18190
05/11/2020;18240
06/11/2020;18360
09/11/2020;18285
10/11/2020;18280
11/11/2020;18200
12/11/2020;18300
13/11/2020;18400
16/11/2020;18755
17/11/2020;19025
18/11/2020;18845
19/11/2020;18730
20/11/2020;18795
23/11/2020;18640
24/11/2020;18693
25/11/2020;18736
26/11/2020;18810
27/11/2020;18911
30/11/2020;18621
01/12/2020;18895
02/12/2020;18790
03/12/2020;18895
04/12/2020;18955
07/12/2020;19120
08/12/2020;19175
09/12/2020;19442
10/12/2020;19465
11/12/2020;19425
14/12/2020;19750
15/12/2020;19695
16/12/2020;19925
17/12/2020;20000
18/12/2020;20059
21/12/2020;19950
22/12/2020;20000
23/12/2020;20033
24/12/2020;20185
29/12/2020;20386
30/12/2020;20335
31/12/2020;20325
04/01/2021;21049
05/01/2021;21185
06/01/2021;21105
07/01/2021;21110
08/01/2021;21000
11/01/2021;20700
12/01/2021;20925
13/01/2021;21035
14/01/2021;21007
15/01/2021;21100
18/01/2021;21235
19/01/2021;21165
20/01/2021;21633
21/01/2021;22001
22/01/2021;21960
25/01/2021;22450
26/01/2021;22850
27/01/2021;22805
28/01/2021;22995
29/01/2021;22779
01/02/2021;23103
02/02/2021;22990
03/02/2021;22940
04/02/2021;22825
05/02/2021;23123
08/02/2021;23069
09/02/2021;23195
10/02/2021;23325
11/02/2021;23300
12/02/2021;23650
